房源名称,户型,面向,面积,所属区,地址,价钱
整租·粼江峰阁,2室1厅,东南,102㎡,锦江区,锦江九眼桥,3600 元/月
时代豪庭三期,3室1厅,东北,143㎡,锦江区,锦江合江亭,12000 元/月
合租·中房优山PLUS,5居室,南卧,18㎡,锦江区,锦江东客站,1300 元/月
合租·中房优山PLUS,4居室,南卧,24㎡,锦江区,锦江东客站,1120 元/月
整租·外滩,3室1厅,东,126㎡,锦江区,锦江九眼桥,4200 元/月
合租·中房优山PLUS,4居室,南卧,18㎡,锦江区,锦江东客站,1250 元/月
整租·粼江峰阁,1室1厅,西南,72㎡,锦江区,锦江九眼桥,2900 元/月
世纪朝阳,2室1厅,东南,92㎡,锦江区,锦江九眼桥,3500 元/月
合租·新希望锦官阁,5居室,南卧,12㎡,锦江区,锦江沙河堡,1390 元/月
粼江峰阁,3室1厅,东南,148㎡,锦江区,锦江九眼桥,5300 元/月
恒大都汇华庭,1室1厅,东,68㎡,锦江区,锦江合江亭,4000 元/月
合租·澳龙名城,3居室,南卧,13㎡,锦江区,锦江攀成钢,1590 元/月
恒大都汇华庭,1室1厅,西,76㎡,锦江区,锦江合江亭,5000 元/月
整租·镏金岁月,1室1厅,东北,54㎡,锦江区,锦江攀成钢,2100 元/月
整租·绿地468公馆三期,5室1厅,南,89㎡,锦江区,锦江三圣乡,3280 元/月
锦江明珠,1室1厅,西南,73㎡,锦江区,锦江盐市口,2900 元/月
恒大都汇华庭,1室1厅,北,66㎡,锦江区,锦江合江亭,5000 元/月
合租·首创娇子1号,4居室,南卧,12㎡,锦江区,锦江卓锦城,627 元/月
城市理想,1室1厅,东南,55㎡,锦江区,锦江盐市口,3900 元/月
合租·澳龙名城,4居室,西北卧,14㎡,锦江区,锦江攀成钢,1560 元/月
整租·世代锦江商务楼,3室1厅,西北,151㎡,锦江区,锦江盐市口,9000 元/月
整租·望江嘉苑,2室1厅,东,80㎡,锦江区,锦江三官堂,2600 元/月
ICC天曜,2室1厅,西南,128㎡,锦江区,锦江东大路,4000 元/月
合租·中房优山PLUS,5居室,南卧,12㎡,锦江区,锦江东客站,870 元/月
整租·学道街111号,3室0厅,东,59㎡,锦江区,锦江盐市口,2900 元/月
财富中心,1室1厅,西南,48㎡,锦江区,锦江盐市口,3000 元/月
合租·中港CCPARK,4居室,南卧,16㎡,锦江区,锦江东湖,994 元/月
时代豪庭三期,2室1厅,北,112㎡,锦江区,锦江合江亭,8000 元/月
合租·中港CCPARK,4居室,南卧,17㎡,锦江区,锦江东湖,1196 元/月
粼江峰阁,1室1厅,南,72㎡,锦江区,锦江九眼桥,3500 元/月
合租·新希望锦官阁,5居室,南卧,9㎡,锦江区,锦江沙河堡,830 元/月
合租·中粮鸿云,5居室,南卧,12㎡,锦江区,锦江东大路,650 元/月
合租·蜀都花园,4居室,南卧,10㎡,锦江区,锦江水碾河,1090 元/月
合租·蜀都花园,4居室,西卧,18㎡,锦江区,锦江水碾河,1360 元/月
合租·中粮鸿云,4居室,南卧,12㎡,锦江区,锦江东大路,920 元/月
金海岸公寓,3室1厅,南,110㎡,锦江区,锦江合江亭,5300 元/月
天紫界,1室0厅,东南,30㎡,锦江区,锦江九眼桥,2200 元/月
整租·蓝润V客东都一期,3室2厅,东南,80㎡,锦江区,锦江三圣乡,2800 元/月
整租·上行汇锦,2室2厅,东,84㎡,锦江区,锦江合江亭,3100 元/月
合租·比华利国际城二期,3居室,东南卧,22㎡,锦江区,锦江川师,1180 元/月
合租·中粮鸿云,4居室,东卧,8㎡,锦江区,锦江东大路,990 元/月
锦江印象,1室1厅,东南,45㎡,锦江区,锦江合江亭,3800 元/月
合租·比华利国际城二期,3居室,东南卧,14㎡,锦江区,锦江川师,900 元/月
合租·比华利国际城二期,3居室,东南卧,18㎡,锦江区,锦江川师,1080 元/月
合租·锦蓉佳苑,5居室,东卧,11㎡,锦江区,锦江三圣乡,780 元/月
合租·比华利国际城二期,5居室,东南卧,20㎡,锦江区,锦江川师,1100 元/月
合租·镏金岁月,3居室,南卧,10㎡,锦江区,锦江攀成钢,1260 元/月
整租·摩根中心,2室1厅,东,90㎡,锦江区,锦江九眼桥,3800 元/月
合租·莲花逸都,3居室,东卧,11㎡,锦江区,锦江九眼桥,1430 元/月
合租·比华利国际城二期,5居室,东南卧,14㎡,锦江区,锦江川师,930 元/月
合租·比华利国际城一期,4居室,东南卧,14㎡,锦江区,锦江川师,900 元/月
合租·康郡,4居室,东卧,10㎡,锦江区,锦江东光小区,1090 元/月
整租·国嘉新视界,2室1厅,东南,67㎡,锦江区,锦江九眼桥,2300 元/月
整租·天紫界,2室1厅,东北,58㎡,锦江区,锦江九眼桥,3300 元/月
香江花园,2室1厅,南,71㎡,锦江区,锦江东光小区,1900 元/月
整租·中粮鸿云,3室1厅,东南,79㎡,锦江区,锦江东大路,4200 元/月
整租·时代豪庭二期,2室1厅,东南,114㎡,锦江区,锦江合江亭,7500 元/月
粼江峰阁,4室1厅,东南,170㎡,锦江区,锦江九眼桥,5500 元/月
合租·乐天圣苑,3居室,西南卧,14㎡,锦江区,锦江东大路,1590 元/月
莲花新区南一巷2号院,2室1厅,东南,67㎡,锦江区,锦江莲花,1800 元/月
整租·莲花逸都,2室1厅,南,56㎡,锦江区,锦江九眼桥,2800 元/月
整租·中房优山PLUS,3室2厅,南,108㎡,锦江区,锦江东客站,3900 元/月
天紫界,2室1厅,东南,80㎡,锦江区,锦江九眼桥,4200 元/月
朝阳名宅,2室1厅,南,108㎡,锦江区,锦江九眼桥,3400 元/月
世纪朝阳,2室1厅,东南,92㎡,锦江区,锦江九眼桥,3300 元/月
三洲娇子苑,3室1厅,东南/南,150㎡,锦江区,锦江红星路,4800 元/月
合租·乐天圣苑,3居室,南卧,16㎡,锦江区,锦江东大路,1100 元/月
合租·首创娇子1号,4居室,南卧,14㎡,锦江区,锦江卓锦城,664 元/月
恒大都汇华庭,1室1厅,南,80㎡,锦江区,锦江合江亭,6500 元/月
合租·首创娇子1号,4居室,南卧,16㎡,锦江区,锦江卓锦城,655 元/月
恒大都汇华庭,1室1厅,东,68㎡,锦江区,锦江合江亭,5500 元/月
合租·首创娇子1号,4居室,南卧,9㎡,锦江区,锦江卓锦城,626 元/月
比华利国际城三期,3室1厅,东南,80㎡,锦江区,锦江川师,3200 元/月
合租·中房优山PLUS,5居室,南卧,13㎡,锦江区,锦江东客站,890 元/月
整租·仁恒滨河湾,3室1厅,南,176㎡,锦江区,锦江东大路,11000 元/月
合租·中港CCPARK,4居室,南卧,25㎡,锦江区,锦江东湖,1215 元/月
粼江峰阁,4室1厅,西南,169㎡,锦江区,锦江九眼桥,6000 元/月
独栋·橙堡公寓,锦江华宇店,loft楼上平层,70㎡,锦江区,,2600 元/月
整租·瑞升国际中心,3室2厅,东南,89㎡,锦江区,锦江三官堂,6500 元/月
整租·瑞升国际中心,4室2厅,南,130㎡,锦江区,锦江三官堂,7800 元/月
整租·瑞升国际中心,3室2厅,东南,98㎡,锦江区,锦江三官堂,5000 元/月
天紫界,1室1厅,西南,62㎡,锦江区,锦江九眼桥,3400 元/月
天紫界,1室1厅,西南,62㎡,锦江区,锦江九眼桥,3200 元/月
整租·时代晶科名苑,2室2厅,北,103㎡,锦江区,高新市一医院,6200 元/月
合租·中粮鸿云,5居室,南卧,10㎡,锦江区,锦江东大路,920 元/月
整租·莲花逸都,1室1厅,东,51㎡,锦江区,锦江九眼桥,2100 元/月
合租·中粮鸿云,4居室,南卧,14㎡,锦江区,锦江东大路,920 元/月
时代豪庭一期,2室1厅,东南,106㎡,锦江区,锦江合江亭,7000 元/月
整租·瑞升国际中心,3室2厅,南,102㎡,锦江区,锦江三官堂,6800 元/月
合租·中房优山PLUS,4居室,南卧,15㎡,锦江区,锦江东客站,1098 元/月
合租·中房优山PLUS,4居室,南卧,16㎡,锦江区,锦江东客站,900 元/月
摩根中心,2室1厅,东南,89㎡,锦江区,锦江九眼桥,3300 元/月
合租·中房优山PLUS,4居室,南卧,18㎡,锦江区,锦江东客站,1000 元/月
锦江印象,1室1厅,西北,45㎡,锦江区,锦江合江亭,2200 元/月
合租·中房优山PLUS,4居室,南卧,18㎡,锦江区,锦江东客站,1250 元/月
合租·中房优山PLUS,4居室,南卧,18㎡,锦江区,锦江东客站,1250 元/月
合租·朝阳名宅,3居室,西卧,9㎡,锦江区,锦江九眼桥,1130 元/月
合租·蜀都花园,4居室,东北卧,13㎡,锦江区,锦江水碾河,1190 元/月
蓉上坊一期,2室1厅,南,90㎡,锦江区,锦江合江亭,4200 元/月
上行汇锦,2室2厅,南,79㎡,锦江区,锦江合江亭,3000 元/月
恒大都汇华庭,1室1厅,西南,68㎡,锦江区,锦江合江亭,5200 元/月
独栋·成都泊寓,锦华店,温馨派-32号户型,28㎡,锦江区,,1338 元/月
锦江城市花园一期,2室1厅,东,50㎡,锦江区,锦江三圣乡,1700 元/月
南沟头巷20号,1室1厅,南,58㎡,锦江区,锦江盐市口,2300 元/月
整租·锦江城市花园三期,2室1厅,东北,55㎡,锦江区,锦江三圣乡,1600 元/月
